Raw 0x113e5c3f  Time:  289299519;  DifTime: 230
Raw 0x113e5d26  Time:  289299750;  DifTime: 231
Raw 0x113e5e0f  Time:  289299983;  DifTime: 233
Raw 0x113e5ef4  Time:  289300212;  DifTime: 229
Raw 0x113e5fdc  Time:  289300444;  DifTime: 232
Raw 0x113e60c3  Time:  289300675;  DifTime: 231
Raw 0x113e61ac  Time:  289300908;  DifTime: 233
Raw 0x113e6293  Time:  289301139;  DifTime: 231
Raw 0x113e637b  Time:  289301371;  DifTime: 232
Raw 0x113e6464  Time:  289301604;  DifTime: 233
Raw 0x113e654b  Time:  289301835;  DifTime: 231
Raw 0x113e663f  Time:  289302079;  DifTime: 244
Raw 0x113e6755  Time:  289302357;  DifTime: 278
Raw 0x113e683d  Time:  289302589;  DifTime: 232
Raw 0x113e6927  Time:  289302823;  DifTime: 234
Raw 0x113e6a11  Time:  289303057;  DifTime: 234
Raw 0x113e6af9  Time:  289303289;  DifTime: 232
Raw 0x113e6be2  Time:  289303522;  DifTime: 233
Raw 0x113e6ccf  Time:  289303759;  DifTime: 237
Raw 0x113e6db8  Time:  289303992;  DifTime: 233
Raw 0x113e6e9e  Time:  289304222;  DifTime: 230
Raw 0x113e6f86  Time:  289304454;  DifTime: 232
Raw 0x113e706d  Time:  289304685;  DifTime: 231
Raw 0x113e7156  Time:  289304918;  DifTime: 233
Raw 0x113e7241  Time:  289305153;  DifTime: 235
Raw 0x113e7328  Time:  289305384;  DifTime: 231
Raw 0x113e7410  Time:  289305616;  DifTime: 232
Raw 0x113e74f8  Time:  289305848;  DifTime: 232
Raw 0x113e75e0  Time:  289306080;  DifTime: 232
Raw 0x113e7734  Time:  289306420;  DifTime: 340
Raw 0x113e781f  Time:  289306655;  DifTime: 235
Raw 0x113e791c  Time:  289306908;  DifTime: 253
Raw 0x113e7a01  Time:  289307137;  DifTime: 229
Raw 0x113e7ae9  Time:  289307369;  DifTime: 232
Raw 0x113e7bd2  Time:  289307602;  DifTime: 233
Raw 0x113e7cba  Time:  289307834;  DifTime: 232
Raw 0x113e7da2  Time:  289308066;  DifTime: 232
Raw 0x113e7e8c  Time:  289308300;  DifTime: 234
Raw 0x113e7f71  Time:  289308529;  DifTime: 229
Raw 0x113e8058  Time:  289308760;  DifTime: 231
Raw 0x113e813e  Time:  289308990;  DifTime: 230
Raw 0x113e8224  Time:  289309220;  DifTime: 230
Raw 0x113e830a  Time:  289309450;  DifTime: 230
Raw 0x113e83f1  Time:  289309681;  DifTime: 231
Raw 0x113e84d9  Time:  289309913;  DifTime: 232
Raw 0x113e85c1  Time:  289310145;  DifTime: 232
Raw 0x113e86a6  Time:  289310374;  DifTime: 229
Raw 0x113e878f  Time:  289310607;  DifTime: 233
Raw 0x113e8875  Time:  289310837;  DifTime: 230
Raw 0x113e895b  Time:  289311067;  DifTime: 230
Raw 0x113e8a43  Time:  289311299;  DifTime: 232
Raw 0x113e8b26  Time:  289311526;  DifTime: 227
Raw 0x113e8c0f  Time:  289311759;  DifTime: 233
Raw 0x113e8cf6  Time:  289311990;  DifTime: 231
Raw 0x113e8e63  Time:  289312355;  DifTime: 365
Raw 0x113e8f55  Time:  289312597;  DifTime: 242
Raw 0x113e9041  Time:  289312833;  DifTime: 236
Raw 0x113e912d  Time:  289313069;  DifTime: 236
Raw 0x113e9219  Time:  289313305;  DifTime: 236
Raw 0x113e9300  Time:  289313536;  DifTime: 231
Raw 0x113e93eb  Time:  289313771;  DifTime: 235
Raw 0x113e94d6  Time:  289314006;  DifTime: 235
Raw 0x113e95c3  Time:  289314243;  DifTime: 237
Raw 0x113e96b0  Time:  289314480;  DifTime: 237
Raw 0x113e979b  Time:  289314715;  DifTime: 235
Raw 0x113e9886  Time:  289314950;  DifTime: 235
Raw 0x113e9973  Time:  289315187;  DifTime: 237
Raw 0x113e9a5d  Time:  289315421;  DifTime: 234
Raw 0x113e9b48  Time:  289315656;  DifTime: 235
Raw 0x113e9c32  Time:  289315890;  DifTime: 234
Raw 0x113e9d1f  Time:  289316127;  DifTime: 237
Raw 0x113e9e0a  Time:  289316362;  DifTime: 235
Raw 0x113e9ef6  Time:  289316598;  DifTime: 236
Raw 0x113e9fe3  Time:  289316835;  DifTime: 237
Raw 0x113ea0d2  Time:  289317074;  DifTime: 239
Raw 0x113ea1bf  Time:  289317311;  DifTime: 237
Raw 0x113ea2af  Time:  289317551;  DifTime: 240
Raw 0x113ea39b  Time:  289317787;  DifTime: 236
Raw 0x113ea487  Time:  289318023;  DifTime: 236
Raw 0x113ea579  Time:  289318265;  DifTime: 242
Raw 0x113ea666  Time:  289318502;  DifTime: 237
Raw 0x113ea753  Time:  289318739;  DifTime: 237
Raw 0x113ea83f  Time:  289318975;  DifTime: 236
Raw 0x113ea92e  Time:  289319214;  DifTime: 239
